113, -132, -71
83, -129, -178
83, -129, -178
-26, -116, -328
-221, -138, -324
-437, -162, -314
-457, -156, -393
-594, -116, -321
-942, -207, -49
-1414, -307, 180
-1673, -423, 159
-1948, -483, 223
-1998, -526, 578
-1998, -596, 606
-1998, -422, 991
-1998, -477, 1002
-1996, -578, 1110
-1618, -215, 1388
-1273, 111, 1236
-1064, 33, 1363
-941, -22, 1500
-837, -21, 1420
-825, 91, 1516
-684, -11, 1484
-374, -46, 1110
-191, -11, 837
-191, -11, 837
-103, -33, 650
-37, -93, 635
-10, -115, 556
39, -100, 393
83, -91, 194
83, -91, 194
108, -90, 34
70, -87, -37
20, -93, -56
-111, -133, -201
-280, -128, -224
-283, -117, -134
-367, -126, -182
-367, -126, -182
-470, -133, -231
-733, -144, -162
-1030, -202, -90
-1290, -289, -2
-1534, -320, 80
-1683, -311, 97
-1882, -241, 191
-1887, -374, 11
-1792, -37, 504
-1998, -427, 401
-1972, -399, 743
-1863, -136, 545
-1651, -183, 726
-1640, -147, 822
-1496, -21, 1302
-1349, -78, 1271
-1170, -103, 1232
-1074, 6, 1527
-987, 58, 1772
-897, 21, 1808
-734, 87, 1522
-734, 87, 1522
-556, -42, 1265
-463, -102, 902
-349, -76, 680
-288, -72, 604
-160, -105, 439
14, -86, 331
139, -36, 222
139, -36, 222
182, -78, 68
162, -62, -33
178, -70, -125
142, -93, -237
69, -114, -258
-104, -145, -236
-259, -145, -242
-259, -181, -242
-422, -158, -347
-678, -152, -499
-948, -218, -361
-1180, -260, -99
-1501, -358, -112
-1907, -403, 42
-1998, -359, 876
-1998, -223, 51
-1998, -112, 1431
-1998, -259, 947
-1988, -176, 1191
-1650, 92, 1391
-1453, 201, 1631
-1452, 85, 1539
-1042, 106, 1505
-643, 203, 1550
-513, 196, 1563
-375, 152, 1512
-367, 58, 1325
-79, 13, 886
20, -3, 588
20, -3, 588
-65, -75, 515
-67, -137, 624
9, -128, 442
9, -128, 442
80, -71, 173
66, -81, -89
-22, -111, -245
-99, -135, -285
-208, -143, -443
-220, -168, -475
-320, -166, -411
-494, -149, -395
-661, -106, -172
-864, -171, -180
-1062, -180, -233
-1236, -201, -123
-1532, -297, -29
-1970, -286, 705
-1998, -6, -29
-1998, -6, -29
-1998, -258, 1338
-1998, -193, 909
-1998, 145, 1131
-1992, 94, 1219
-1888, 50, 1268
-1516, 157, 1053
-1213, 261, 1293
-943, 232, 1137
-840, 222, 1205
-774, 224, 1249
-580, 186, 1137
-485, 90, 1179
-356, 83, 953
-201, 105, 850
-201, 105, 850
-132, 22, 698
-78, -20, 470
-33, -32, 376
2, -15, 307
-46, 0, 267
-46, 0, 267
-92, -59, 241
-151, -76, 108
-222, -53, -83
-363, -22, -230
-363, -22, -230
-426, 25, -241
-493, 31, -2
-570, -135, 48
-725, -169, -96
-790, -154, -121
-885, -312, -44
-1348, -460, 71
-1273, -415, 126
-1009, -331, 68
-1269, -346, -76
-1638, -54, 650
-1638, -54, 650
-1994, -207, 768
-1998, -265, 913
-1837, 298, 497
-1888, 416, 1003
-1891, 223, 1418
-1824, 153, 1137
-1703, 231, 1182
-1622, 189, 1269
-1465, 120, 1277
-1250, 24, 1210
-1007, 10, 1087
-911, -80, 1052
-726, -164, 997
-467, -111, 938
-315, -96, 890
-292, -139, 849
-192, -122, 801
-107, -77, 735
-107, -77, 735
-53, 0, 738
-5, 42, 595
46, 21, 369
46, 21, 369
45, -16, 116
23, -50, -66
-51, -55, -137
-115, -31, -87
-115, -31, -87
-106, -40, -103
-92, -38, -200
-151, -62, -205
-278, -181, -170
-588, -360, -221
-977, -468, -335
-1481, -470, -268
-1765, -336, 25
-1952, -167, -26
-1998, -158, 453
-1998, 437, 260
-1998, 361, 1271
-1998, 134, 390
-1998, 132, 434
-1996, 389, 701
-1998, 76, 1108
-1990, -30, 1243
-1718, 19, 1262
-1431, 44, 1072
-1431, 44, 1072
-1251, -113, 987
-1082, -170, 1108
-871, -156, 1173
-687, -159, 1113
-538, -159, 1067
-427, -234, 1013
-253, -270, 739
-122, -253, 539
-50, -229, 500
-71, -49, 420
16, 95, 269
52, 56, 126
52, 56, 126
85, 67, -192
39, 57, -285
-80, 75, -255
-80, 75, -255
-161, 92, -271
-143, 90, -246
-58, -8, -222
-276, -112, -169
-623, -212, -24
-714, -256, 0
-714, -256, 0
-808, -307, -177
-1148, -406, -358
-1773, -449, -266
-1998, -493, -233
-1998, -311, -36
-1998, 17, 659
-1998, 24, 224
-1998, -116, 339
-1998, 34, 568
-1998, 342, 949
-1998, 185, 1071
-1998, 1, 1231
-1946, -51, 1174
-1573, -69, 1314
-1156, -154, 1092
-766, -157, 928
-535, -205, 928
-401, -268, 1053
-349, -369, 1172
-219, -346, 933
-53, -298, 546
-53, -298, 546
70, -287, 570
173, 0, 454
119, -23, -41
96, 67, 27
96, 67, 27
86, 120, -293
-17, 114, -228
-93, 117, -323
-317, 64, -138
-317, 64, -138
-503, -12, -78
-618, -107, -99
-621, -118, -70
-664, -114, -45
-839, -191, 13
-986, -254, 115
